id,year,wave,region,income,family_member,gender,year_born,education_level,marriage,religion,occupation,company_size,reason_none_worker
10101,2005,1,1,614,1,2,1936,2,2,2, , ,8
10101,2011,7,1,896,1,2,1936,2,2,2, , ,10
10101,2012,8,1,1310,1,2,1936,2,2,2, , ,10
10101,2013,9,1,2208,1,2,1936,2,2,2, , ,1
10101,2014,10,1,864,1,2,1936,2,2,2, , ,10
10101,2015,11,1,1171,1,2,1936,2,2,1, , ,10
10101,2016,12,1,1643,1,2,1936,2,2,2, , ,10
10101,2017,13,1,851,1,2,1936,2,2,2, , ,10
20101,2005,1,1,1257,1,2,1945,4,2,2,421,1, 
20101,2006,2,1,-520.062475,1,2,1945,4,2,2, , ,8
20101,2007,3,1,602,1,2,1945,4,2,2,411,1, 
20101,2008,4,1,1972,1,2,1945,4,2,2,951,1, 
20101,2009,5,1,1638,1,2,1945,4,2,1,951,1, 
20101,2010,6,1,1598,1,2,1945,4,2,2,951,1, 
20101,2011,7,1,1810,1,2,1945,4,2,2, , ,10
20101,2012,8,1,2447,1,2,1945,4,2,2, , ,10
20101,2013,9,1,2023,1,2,1945,4,2,2,951,1, 
20101,2014,10,1,600,1,2,1945,4,2,2, , ,10
20101,2015,11,1,1750,1,2,1945,4,2,1, , ,10
20101,2016,12,1,1304,1,2,1945,4,2,2, , ,10
20101,2017,13,1,1474,1,2,1945,4,2,1, , ,10
20101,2018,14,1,2330,1,2,1945,4,2,1, , ,10
30101,2005,1,1,935,2,1,1948,3,1,2, , ,6
30101,2006,2,1,499,2,1,1948,3,1,1,513,1, 
30101,2007,3,1,1444,2,1,1948,3,1,1,513,1, 
30101,2008,4,1,1818,2,1,1948,3,1,1,521,1, 
30101,2009,5,1,563,2,1,1948,3,1,1, , ,8
30101,2010,6,1,812,2,1,1948,3,1,2, , ,8
30101,2011,7,1,1256,2,1,1948,3,2,2, , ,8
30101,2012,8,1,1022,1,1,1948,3,2,2,942,3, 
30101,2013,9,1,1571,1,1,1948,3,2,1,942,1, 
30101,2014,10,1,1619,1,1,1948,3,2,2,942,3, 
30101,2015,11,1,1437,1,1,1948,3,2,2, , , 
30101,2016,12,1,978,1,1,1948,3,2,2, , ,10
30101,2017,13,1,698,1,1,1948,3,2,2, , ,10
