Content_ID,Platform,Monetization,Exclusive_YN
K001,Naver Webtoon,AVOD,N
K001,KakaoPage,AVOD,N
K002,Steam,SVOD,Y
K003,Netflix,SVOD,Y
K004,Tving,SVOD,Y
K005,Lezhin,Premium,Y
K006,Lezhin,Freemium,Y
K007,Naver Webtoon,Premium,N
K007,Lezhin,Freemium,N
K008,Nexon,Freemium,Y
K009,Disney+,SVOD,Y
K010,SBS,Freemium,Y
K011,Lezhin,SVOD,N
K011,KakaoPage,Premium,N
K012,Google Play,Freemium,Y
K013,Steam,SVOD,Y
K014,KakaoPage,AVOD,N
K014,Naver Webtoon,SVOD,N
K015,KakaoPage,Freemium,Y
K016,KakaoPage,AVOD,Y
K017,Lezhin,AVOD,N
K017,Naver Webtoon,AVOD,N
K018,Disney+,Freemium,Y
K019,Tving,SVOD,N
K019,Wavve,AVOD,N
K019,Disney+,SVOD,N
K020,KakaoPage,SVOD,N
K020,Lezhin,AVOD,N
K021,Wavve,Premium,N
K021,Netflix,Premium,N
K021,Tving,AVOD,N
K022,Naver Webtoon,Freemium,Y
K023,KakaoPage,Freemium,N
K023,Lezhin,AVOD,N
K024,Naver Webtoon,SVOD,N
K024,KakaoPage,SVOD,N
K024,Lezhin,AVOD,N
K025,Disney+,SVOD,N
K025,Wavve,Premium,N
K026,tvN,Freemium,Y
K027,Naver Webtoon,Freemium,N
K027,Lezhin,SVOD,N
K027,KakaoPage,Freemium,N
K028,Disney+,SVOD,Y
K029,Wavve,SVOD,N
K029,Disney+,Freemium,N
K029,Netflix,AVOD,N
K030,Naver Webtoon,SVOD,Y
K031,Disney+,SVOD,Y
K032,KakaoPage,Freemium,Y
K033,Naver Webtoon,SVOD,Y
K034,Kakao Games,SVOD,Y
K035,Nexon,AVOD,N
K035,Steam,Freemium,N
K035,Kakao Games,Premium,N
K036,Nexon,Premium,N
K036,Google Play,Freemium,N
K036,Kakao Games,Premium,N
K037,KakaoPage,AVOD,N
K037,Naver Webtoon,AVOD,N
K038,Naver Webtoon,AVOD,Y
K039,Netflix,SVOD,Y
K040,Netflix,SVOD,N
K040,Disney+,SVOD,N
K041,Naver Webtoon,Freemium,N
K041,Lezhin,Premium,N
K042,Tving,Premium,Y
K043,KakaoPage,Premium,Y
K044,Steam,Premium,Y
K045,KakaoPage,Premium,Y
K046,Netflix,SVOD,N
K046,Wavve,SVOD,N
K047,KakaoPage,SVOD,Y
K048,Tving,Premium,Y
K049,Tving,Freemium,Y
K050,Naver Webtoon,Premium,Y
K051,Steam,SVOD,N
K051,Kakao Games,SVOD,N
K052,Tving,Premium,N
K052,Netflix,Premium,N
K052,tvN,AVOD,N
K053,Steam,Premium,N
K053,Kakao Games,SVOD,N
K054,Google Play,Premium,N
K054,Nexon,Premium,N
K054,Kakao Games,AVOD,N
K055,Tving,SVOD,Y
K056,Steam,Freemium,Y
K057,Lezhin,Premium,Y
K058,Lezhin,AVOD,Y
K059,Lezhin,SVOD,Y
K060,Naver Webtoon,AVOD,N
K060,Lezhin,Premium,N
K061,Lezhin,AVOD,Y
K062,Naver Webtoon,SVOD,Y
K063,Google Play,Freemium,Y
K064,Lezhin,Freemium,Y
K065,KakaoPage,AVOD,Y
K066,Wavve,Freemium,N
K066,Tving,SVOD,N
K067,Lezhin,SVOD,Y
K068,Nexon,Freemium,Y
K069,KakaoPage,SVOD,Y
K070,Google Play,AVOD,N
K070,Nexon,Premium,N
K071,SBS,SVOD,N
K071,tvN,Freemium,N
K072,Naver Webtoon,SVOD,N
K072,Lezhin,SVOD,N
K072,KakaoPage,AVOD,N
K073,Lezhin,AVOD,Y
K074,Nexon,Freemium,N
K074,Google Play,Premium,N
K075,Netflix,SVOD,Y
K076,SBS,SVOD,N
K076,Netflix,Freemium,N
K077,SBS,Premium,N
K077,Netflix,Premium,N
K078,Naver Webtoon,SVOD,Y
K079,Lezhin,Freemium,N
K079,Naver Webtoon,AVOD,N
K079,KakaoPage,Premium,N
K080,KakaoPage,Freemium,Y
K081,Steam,AVOD,N
K081,Nexon,AVOD,N
K082,Wavve,Premium,N
K082,Disney+,AVOD,N
K083,Naver Webtoon,Premium,N
K083,Lezhin,SVOD,N
K083,KakaoPage,AVOD,N
K084,KakaoPage,AVOD,N
K084,Lezhin,Freemium,N
K085,Lezhin,SVOD,Y
K086,Naver Webtoon,Premium,Y
K087,tvN,Freemium,Y
K088,Tving,AVOD,Y
K089,Nexon,Premium,Y
K090,Netflix,Freemium,Y
K091,Lezhin,Premium,Y
K092,SBS,SVOD,N
K092,Netflix,Freemium,N
K093,SBS,SVOD,Y
K094,Disney+,Freemium,Y
K095,SBS,SVOD,N
K095,Tving,Premium,N
K096,Tving,SVOD,N
K096,Disney+,Premium,N
K097,Tving,Freemium,Y
