salary_id,employer_name,location_state,location_country,location_latitude,location_longitude,job_title,job_title_category,job_title_rank,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,comments,submitted_at,total_experience_years_d
1,opower,CA,US,37.77,-122.41,systems engineer,Engineering,,13.0,2.0,125000.0,5000.0,0.0,5000 shares,Don't work here.,3/21/2016 12:58,overDecade
3,walmart,AR,US,36.36,-94.2,senior developer,Software,Senior,15.0,8.0,65000.0,,5000.0,"3,000",,3/21/2016 12:58,overDecade
4,vertical knowledge,OH,US,41.47,-81.67,software engineer,Software,,4.0,1.0,86000.0,5000.0,6000.0,0,,3/21/2016 12:59,other
6,netapp,,,,,mts,Other,,4.0,0.0,105000.0,5000.0,8500.0,0,,3/21/2016 13:00,other
12,apple,,,,,software engineer,Software,,4.0,3.0,110000.0,5000.0,7000.0,150000,,3/21/2016 13:02,other
14,casino,OR,US,38.0,-97.0,it technician,Other,,5.0,1.5,40000.0,0.0,500.0,0,,3/21/2016 13:03,other
16,tetra tech,WI,US,43.1,-89.5,lead interviewer,Other,,4.0,2.5,45000.0,0.0,1500.0,,,3/21/2016 13:03,other
17,knewton,NY,US,38.0,-97.0,senior software engineer,Software,Senior,8.0,2.0,135000.0,0.0,0.0,,,3/21/2016 13:03,other
21,amplify,,,,,software engineer,Software,,2.0,1.0,105000.0,0.0,47000.0,0,,3/21/2016 13:04,other
23,sqor,,,,,infrastructure/platform engineer,Engineering,,1.0,1.0,80000.0,0.0,0.0,500,,3/21/2016 13:04,other
24,pensco trust company,CO,US,39.82,-105.1,senior software engineer,Software,Senior,10.0,1.5,120000.0,0.0,6000.0,0,,3/21/2016 13:04,other
25,thoughtworks,,,,,"software developer, consultant",Software,,2.0,2.0,78000.0,0.0,0.0,0,,3/21/2016 13:04,other
30,purdue,IN,US,40.44,-86.91,web developer,Web,,2.0,1.5,60000.0,,,,Discounted education for employees.,3/21/2016 13:05,other
34,small b2b company,,,,,analyst,Data,,4.0,1.0,63000.0,0.0,2000.0,0,,3/21/2016 13:05,other
35,small b2b company,,,,,analyst,Data,,4.0,1.0,63000.0,0.0,2000.0,0,,3/21/2016 13:05,other
36,sqli,,,,,it project manager,Management,,8.0,3.0,38.0,0.0,0.0,0,,3/21/2016 13:05,other
37,slalom,,,,,senior engineer,Engineering,Senior,5.0,1.0,93000.0,0.0,15000.0,0,,3/21/2016 13:05,other
39,magento commerce,SC,US,32.78,-79.99,member of technical staff,Other,,19.0,1.0,131000.0,,,80000,Remote,3/21/2016 13:06,overDecade
40,oracle,PA,US,40.01,-75.22,student intern co-op,Other,Intern,0.0,0.0,24.0,0.0,0.0,$0 ,,3/21/2016 13:06,other
45,klick,,CA,60.0,-95.0,full stack developer,Web,,5.0,3.0,85000.0,0.0,5000.0,0,,3/21/2016 13:06,other
46,small consulting shop,NC,US,35.98,-78.91,developer,Software,,10.0,3.5,150000.0,,,,,3/21/2016 13:06,other
47,amazon,,,,,sde1,Software,1,0.0,0.0,95000.0,20000.0,,30000,this was in 2012,3/21/2016 13:06,other
48,nbc universal,NY,US,38.0,-97.0,senior analyst,Data,Senior,2.0,1.5,55000.0,0.0,0.0,0,Dont go there,3/21/2016 13:07,other
50,30 person startup,,,,,software engineer,Software,,5.0,2.0,125000.0,0.0,0.0,0,options were granted but have no real monetary value,3/21/2016 13:07,other
53,liveops,,,,,sr engineer,Engineering,Senior,6.0,3.0,145000.0,0.0,20000.0,15000,,3/21/2016 13:07,other
55,expedia,,,,,software engineer,Software,,,2.5,78000.0,5000.0,4000.0,,Expedia sucks! Don't come here...,3/21/2016 13:08,other
59,quick left,CO,US,38.0,-97.0,senior developer,Software,Senior,6.0,1.0,120000.0,0.0,0.0,500,,3/21/2016 13:08,other
60,1&1 development srl,,OM,21.0,57.0,software developer,Software,,5.0,2.0,17264.0,0.0,0.0,0,,3/21/2016 13:08,other
62,early-stage startup,,SE,62.0,15.0,ios developer,Software,,8.0,0.8,36.5,0.0,0.0,0,"Yup. That's what I make. And trust me, I'm a pretty decent developer.",3/21/2016 13:09,other
64,rei systems,VA,US,38.86,-77.05,associate software engineer,Software,,1.0,1.0,55000.0,,,,,3/21/2016 13:09,other
69,mitsubishi hitachi power systems america,FL,US,28.5,-81.37,steam turbine service engineer,Engineering,,4.0,1.0,80001.0,10000.0,,,$10k was relocation.,3/21/2016 13:10,other
70,startup,MI,US,42.38,-83.1,senior engineer,Engineering,Senior,8.0,3.0,100000.0,0.0,0.0,80000,,3/21/2016 13:10,other
74,sf startup,CA,US,37.77,-122.41,web developer,Web,,5.0,0.5,125000.0,5000.0,10.0,,,3/21/2016 13:10,other
77,intel,OR,US,45.52,-122.85,product development engineer,Software,,2.5,2.5,82000.0,,,,,3/21/2016 13:11,other
79,city of austin,TX,US,30.26,-97.74,it programmer,Other,,40.0,15.0,103000.0,0.0,1500.0,0,,3/21/2016 13:11,overDecade
88,early-stage startup,CO,US,39.82,-105.1,director of product,Management,,5.0,3.0,80000.0,,,50000,,3/21/2016 13:11,other
89,social tables,WA,US,38.0,-97.0,engineer,Engineering,,2.0,1.0,80000.0,5000.0,,,,3/21/2016 13:11,other
90,loyalty new zealand,,NZ,-41.0,174.0,software engineer,Software,,2.0,2.0,50000.0,,5000.0,,,3/21/2016 13:12,other
91,freelance,CO,US,39.82,-105.1,software engineer,Software,,20.0,11.0,190000.0,0.0,0.0,0,Estimated - bill @ $145-180/hr; don't work year-round.,3/21/2016 13:12,overDecade
